Name	Cov (B)     	Scope (B)   	CB / SB     	Cov (L)     	Scope (L)   	CL / SL     

clang versio,clang versio@0x0:0x43	           9	           9	     1.00000	           3	           3	     1.00000
clang versio,clang versio@0x0:0x50	           0	           9	     0.00000	           0	           3	     0.00000
clang versio,clang versio@0x0:0x5d	           8	          11	     0.72727	           2	           3	     0.66667
clang versio,clang versio@0x0:0x68	           9	           9	     1.00000	           3	           3	     1.00000
clang versio,clang versio@0x0:0x76	           9	           9	     1.00000	           3	           3	     1.00000

params	          18	          27	     0.66667	           6	           9	     0.66667
vars	          18	          18	     1.00000	           6	           6	     1.00000
all	          36	          45	     0.80000	          12	          15	     0.80000
